Time                o21
               4.9557815                    0.0051026605
               4.9579186                    0.0060709286
               4.9600554                    0.0070040384
               4.9621925                    0.0078969067
               4.9643297                     0.008744684
               4.9664664                    0.0095427791
               4.9686036                     0.010286883
               4.9707408                     0.010972997
               4.9728775                     0.011597449
               4.9750147                     0.012156915
               4.9771519                      0.01264844
               4.9792886                      0.01306945
               4.9814258                     0.013417766
               4.9835629                     0.013691617
               4.9857001                     0.013889648
               4.9878368                     0.014010926
                4.989974                     0.014054947
               4.9921112                     0.014021633
               4.9942479                     0.013911338
               4.9963851                     0.013724838
               4.9985223                     0.013463334
                5.000659                     0.013128436
               5.0027962                     0.012722159
               5.0049334                     0.012246907
               5.0070701                     0.011705462
               5.0092072                     0.011100966
               5.0113444                     0.010436906
               5.0134811                    0.0097170845
               5.0156183                    0.0089456094
               5.0177555                    0.0081268614
               5.0198922                    0.0072654751
               5.0220294                    0.0063663088
               5.0241666                    0.0054344186
               5.0263038                    0.0044750297
               5.0284405                     0.003493506
               5.0305777                    0.0024953205
               5.0327148                    0.0014860251
               5.0348516                   0.00047121884
               5.0369887                  -0.00054348295
               5.0391259                   -0.0015524804
               5.0412626                   -0.0025502197
               5.0433998                   -0.0035312246
                5.045537                   -0.0044901255
               5.0476737                   -0.0054216902
               5.0498109                   -0.0063208528
               5.0519481                   -0.0071827392
               5.0540848                   -0.0080026966
                5.056222                   -0.0087763164
               5.0583591                   -0.0094994614
               5.0604959                    -0.010168284
                5.062633                    -0.010779249
               5.0647702                    -0.011329151
               5.0669074                    -0.011815134
               5.0690441                    -0.012234703
               5.0711813                     -0.01258574
               5.0733185                    -0.012866512
               5.0754552                    -0.013075682
               5.0775924                    -0.013212313
               5.0797296                    -0.013275871
               5.0818663                    -0.013266232
               5.0840034                    -0.013183676
               5.0861406                    -0.013028886
               5.0882773                    -0.012802946
               5.0904145                    -0.012507329
               5.0925517                    -0.012143889
               5.0946884                    -0.011714851
               5.0968256                    -0.011222796
               5.0989628                    -0.010670647
                  5.1011                    -0.010061651
               5.1032367                   -0.0093993582
               5.1053739                   -0.0086876024
                5.107511                   -0.0079304809
               5.1096478                   -0.0071323267
               5.1117849                   -0.0062976871
               5.1139221                   -0.0054312954
               5.1160588                   -0.0045380453
                5.118196                   -0.0036229636
               5.1203332                    -0.002691179
               5.1224699                   -0.0017478969
               5.1246071                  -0.00079836685
               5.1267443                    0.0001521447
                5.128881                    0.0010983846
               5.1310182                    0.0020351419
               5.1331553                    0.0029572772
               5.1352921                    0.0038597502
               5.1374292                    0.0047376482
               5.1395664                     0.005586213
               5.1417036                     0.006400866
               5.1438403                    0.0071772337
               5.1459775                    0.0079111718
               5.1481147                    0.0085987858
               5.1502514                    0.0092364531
               5.1523886                    0.0098208413
               5.1545258                     0.010348927
               5.1566625                     0.010818011
               5.1587996                      0.01122573
               5.1609368                     0.011570073
               5.1630735                     0.011849385
               5.1652107                      0.01206238
               5.1673479                     0.012208145
               5.1694846                     0.012286144
               5.1716218                     0.012296218
                5.173759                     0.012238587
               5.1758957                     0.012113844
               5.1780329                     0.011922952
               5.1801701                     0.011667239
               5.1823072                     0.011348384
                5.184444                     0.010968414
               5.1865811                     0.010529682
               5.1887183                     0.010034859
                5.190855                    0.0094869174
               5.1929922                    0.0088891108
               5.1951294                    0.0082449559
               5.1972661                    0.0075582112
               5.1994033                    0.0068328567
               5.2015405                    0.0060730684
               5.2036772                    0.0052831955
               5.2058144                     0.004467736
               5.2079515                    0.0036313094
               5.2100883                    0.0027786321
               5.2122254                    0.0019144895
               5.2143626                    0.0010437097
               5.2164993                   0.00017113594
               5.2186365                  -0.00069840008
               5.2207737                   -0.0015601055
               5.2229109                   -0.0024092521
               5.2250476                   -0.0032412035
               5.2271848                   -0.0040514395
                5.229322                   -0.0048355814
               5.2314587                   -0.0055894149
               5.2335958                   -0.0063089137
                5.235733                   -0.0069902618
               5.2378697                   -0.0076298718
               5.2400069                   -0.0082244044
               5.2421441                    -0.008770789
               5.2442808                   -0.0092662331
                5.246418                   -0.0097082434
               5.2485552                    -0.010094633
               5.2506919                    -0.010423536
               5.2528291                    -0.010693414
               5.2549663                    -0.010903063
                5.257103                     -0.01105162
               5.2592402                    -0.011138568
               5.2613773                    -0.011163728
               5.2635145                    -0.011127274
               5.2656512                    -0.011029714
               5.2677884                    -0.010871896
               5.2699256                    -0.010654996
               5.2720623                    -0.010380517
               5.2741995                    -0.010050269
               5.2763367                   -0.0096663656
               5.2784734                    -0.009231207
               5.2806106                   -0.0087474659
               5.2827477                   -0.0082180696
               5.2848845                   -0.0076461858
               5.2870216                   -0.0070352005
               5.2891588                   -0.0063887001
               5.2912955                   -0.0057104491
               5.2934327                   -0.0050043687
               5.2955699                    -0.004274514
               5.2977071                   -0.0035250504
               5.2998438                   -0.0027602306
                5.301981                    -0.001984369
               5.3041182                   -0.0012018193
               5.3062549                  -0.00041694811
                5.308392                   0.00036588861
               5.3105292                    0.0011423698
               5.3126659                    0.0019082335
               5.3148031                    0.0026592999
               5.3169403                    0.0033914945
                5.319077                    0.0041008708
               5.3212142                    0.0047836299
               5.3233514                    0.0054361429
               5.3254881                     0.006054969
               5.3276253                    0.0066368748
               5.3297625                    0.0071788491
               5.3318992                    0.0076781199
               5.3340364                     0.008132169
               5.3361735                    0.0085387444
               5.3383107                    0.0088958694
               5.3404474                    0.0092018554
               5.3425846                    0.0094553065
               5.3447218                    0.0096551273
               5.3468585                    0.0098005263
               5.3489957                    0.0098910211
               5.3511329                    0.0099264355
               5.3532696                     0.009906902
               5.3554068                    0.0098328572
               5.3575439                    0.0097050378
               5.3596807                    0.0095244749
               5.3618178                     0.009292488
                5.363955                    0.0090106735
               5.3660917                    0.0086808968
               5.3682289                    0.0083052758
               5.3703661                    0.0078861732
               5.3725028                    0.0074261781
                 5.37464                    0.0069280909
               5.3767772                    0.0063949069
               5.3789144                    0.0058297985
               5.3810511                    0.0052360953
               5.3831882                    0.0046172659
               5.3853254                    0.0039768964
               5.3874621                    0.0033186707
               5.3895993                    0.0026463484
               5.3917365                    0.0019637442
               5.3938732                    0.0012747056
               5.3960104                   0.00058309175
               5.3981476                  -0.00010724907
               5.4002843                  -0.00079249986
               5.4024215                   -0.0014688966
               5.4045587                    -0.002132749
