        Time                i2
               3.5825391                     -0.28498441
                3.584132                     -0.23183917
               3.5857251                     -0.17800111
               3.5873179                     -0.12363432
               3.5889108                    -0.068904519
               3.5905039                    -0.013978452
               3.5920968                      0.04097655
               3.5936897                     0.095793121
               3.5952828                      0.15030435
               3.5968757                       0.2043443
               3.5984685                      0.25774854
               3.6000617                      0.31035462
               3.6016545                      0.36200258
               3.6032474                      0.41253543
               3.6048403                      0.46179962
               3.6064334                      0.50964558
               3.6080263                      0.55592811
               3.6096191                      0.60050678
               3.6112123                      0.64324647
               3.6128051                      0.68401778
                3.614398                      0.72269726
               3.6159911                      0.75916797
                3.617584                      0.79331976
               3.6191769                      0.82504964
               3.6207697                      0.85426199
               3.6223629                      0.88086909
               3.6239557                      0.90479094
               3.6255486                      0.92595607
               3.6271417                      0.94430131
               3.6287346                      0.95977217
               3.6303275                      0.97232294
               3.6319206                      0.98191702
               3.6335135                      0.98852658
               3.6351063                       0.9921332
               3.6366994                      0.99272746
               3.6382923                      0.99030924
               3.6398852                       0.9848876
               3.6414781                      0.97648078
               3.6430712                      0.96511614
                3.644664                       0.9508301
               3.6462569                      0.93366784
                 3.64785                      0.91368347
               3.6494429                      0.89093965
               3.6510358                       0.8655073
               3.6526289                       0.8374657
               3.6542218                      0.80690193
               3.6558146                      0.77391076
               3.6574078                      0.73859429
               3.6590006                      0.70106173
               3.6605935                      0.66142887
               3.6621864                      0.61981791
               3.6637795                      0.57635695
               3.6653724                      0.53117979
               3.6669652                      0.48442519
               3.6685584                      0.43623671
               3.6701512                      0.38676223
               3.6717441                      0.33615339
               3.6733372                      0.28456515
               3.6749301                      0.23215538
                3.676523                      0.17908435
               3.6781161                      0.12551416
                3.679709                     0.071608365
               3.6813018                      0.01753136
               3.6828947                    -0.036552049
               3.6844878                    -0.090477191
               3.6860807                     -0.14408001
               3.6876736                     -0.19719762
               3.6892667                     -0.24966869
               3.6908596                     -0.30133408
               3.6924524                     -0.35203722
               3.6940455                     -0.40162465
               3.6956384                     -0.44994643
               3.6972313                     -0.49685666
               3.6988244                     -0.54221386
               3.7004173                     -0.58588147
               3.7020102                     -0.62772822
                3.703603                     -0.66762853
               3.7051961                     -0.70546287
                3.706789                     -0.74111813
               3.7083819                     -0.77448803
                3.709975                     -0.80547339
               3.7115679                     -0.83398235
               3.7131608                     -0.85993075
               3.7147539                     -0.88324237
               3.7163467                     -0.90384907
               3.7179396                     -0.92169112
               3.7195325                     -0.93671721
               3.7211256                     -0.94888473
               3.7227185                     -0.95815992
               3.7243114                     -0.96451783
               3.7259045                     -0.96794248
               3.7274973                     -0.96842676
               3.7290902                     -0.96597278
               3.7306833                     -0.96059138
               3.7322762                     -0.95230246
               3.7338691                     -0.94113481
               3.7354622                     -0.92712587
               3.7370551                     -0.91032177
               3.7386479                     -0.89077723
               3.7402408                     -0.86855501
               3.7418339                     -0.84372628
               3.7434268                     -0.81636989
               3.7450197                     -0.78657228
               3.7466128                     -0.75442743
               3.7482057                     -0.72003621
               3.7497985                     -0.68350625
               3.7513916                     -0.64495164
               3.7529845                     -0.60449237
               3.7545774                     -0.56225425
               3.7561705                     -0.51836824
               3.7577634                     -0.47297022
               3.7593563                     -0.42620042
               3.7609491                     -0.37820321
               3.7625422                     -0.32912636
               3.7641351                      -0.2791208
                3.765728                     -0.22834007
               3.7673211                      -0.1769399
                3.768914                     -0.12507764
               3.7705069                    -0.072911829
                  3.7721                    -0.020601716
               3.7736928                     0.031693239
               3.7752857                     0.083813876
               3.7768788                      0.13560177
               3.7784717                      0.18689981
               3.7800646                      0.23755257
               3.7816575                      0.28740683
               3.7832506                      0.33631209
               3.7848434                      0.38412091
               3.7864363                      0.43068948
               3.7880294                      0.47587803
               3.7896223                      0.51955116
               3.7912152                      0.56157833
               3.7928083                       0.6018343
               3.7944012                      0.64019936
                3.795994                      0.67655981
               3.7975872                      0.71080828
                 3.79918                      0.74284393
               3.8007729                      0.77257299
               3.8023658                      0.79990876
               3.8039589                      0.82477212
               3.8055518                       0.8470915
               3.8071446                      0.86680341
               3.8087378                      0.88385218
               3.8103306                      0.89819056
               3.8119235                      0.90977967
               3.8135166                      0.91858894
               3.8151095                      0.92459655
               3.8167024                      0.92778903
               3.8182952                      0.92816186
               3.8198884                      0.92571878
               3.8214812                      0.92047238
               3.8230741                       0.9124437
               3.8246672                      0.90166223
               3.8262601                      0.88816589
                3.827853                      0.87200069
               3.8294461                      0.85322088
                3.831039                      0.83188838
               3.8326318                      0.80807304
               3.8342249                      0.78185201
               3.8358178                      0.75330961
               3.8374107                      0.72253722
               3.8390036                      0.68963271
               3.8405967                      0.65470046
               3.8421896                      0.61785066
               3.8437824                      0.57919925
               3.8453755                      0.53886741
               3.8469684                      0.49698117
               3.8485613                      0.45367122
               3.8501544                      0.40907213
               3.8517473                      0.36332229
               3.8533401                      0.31656325
               3.8549333                      0.26893941
               3.8565261                      0.22059746
                3.858119                      0.17168604
               3.8597119                      0.12235517
                3.861305                     0.072755903
               3.8628979                     0.023039743
               3.8644907                     -0.02664173
               3.8660839                    -0.076137379
               3.8676767                     -0.12529694
               3.8692696                     -0.17397149
               3.8708627                     -0.22201394
               3.8724556                     -0.26927939
               3.8740485                     -0.31562567
               3.8756416                     -0.36091369
               3.8772345                     -0.40500796
               3.8788273                     -0.44777682
               3.8804202                      -0.4890931
               3.8820133                     -0.52883416
               3.8836062                     -0.56688261
               3.8851991                     -0.60312641
               3.8867922                     -0.63745934
               3.8883851                     -0.66978109
               3.8899779                     -0.69999796
                3.891571                     -0.72802275
               3.8931639                     -0.75377518
               3.8947568                     -0.77718204
               3.8963497                      -0.7981776
               3.8979428                     -0.81670344
               3.8995357                     -0.83270901
               3.9011285                     -0.84615153
               3.9027216                     -0.85699606
               3.9043145                     -0.86521572
               3.9059074                     -0.87079179
               3.9075005                     -0.87371355
               3.9090934                     -0.87397856
               3.9106863                     -0.87159228
               3.9122794                     -0.86656851
               3.9138722                     -0.85892886
               3.9154651                     -0.84870297
                3.917058                     -0.83592838
               3.9186511                     -0.82065022
                3.920244                     -0.80292112
               3.9218369                     -0.78280121
                 3.92343                     -0.76035762
               3.9250228                     -0.73566455
               3.9266157                     -0.70880276
               3.9282088                     -0.67985952
               3.9298017                     -0.64892817
               3.9313946                     -0.61610794
               3.9329877                     -0.58150357
               3.9345806                     -0.54522496
               3.9361734                     -0.50738686
               3.9377663                     -0.46810845
               3.9393594                     -0.42751303
               3.9409523                     -0.38572761
               3.9425452                     -0.34288248
               3.9441383                     -0.29911086
               3.9457312                     -0.25454837
                3.947324                     -0.20933279
               3.9489172                     -0.16360345
                 3.95051                     -0.11750094
               3.9521029                    -0.071166538
                3.953696                    -0.024741918
               3.9552889                      0.02163139
               3.9568818                     0.067812383
               3.9584746                      0.11366103
               3.9600677                      0.15903871
               3.9616606                      0.20380859
               3.9632535                      0.24783611
               3.9648466                      0.29098934
               3.9664395                      0.33313936
               3.9680324                      0.37416071
               3.9696255                      0.41393167
               3.9712183                      0.45233476
               3.9728112                      0.48925695
               3.9744043                      0.52459008
               3.9759972                      0.55823117
               3.9775901                      0.59008265
                3.979183                      0.62005275
               3.9807761                      0.64805561
               3.9823689                      0.67401177
               3.9839618                      0.69784814
               3.9855549                       0.7194984
               3.9871478                      0.73890299
               3.9887407                      0.75600952
               3.9903338                       0.7707727
               3.9919267                      0.78315443
               3.9935195                      0.79312426
               3.9951124                      0.80065894
               3.9967055                      0.80574286
               3.9982984                      0.80836785
               3.9998913                      0.80853343
               4.0014844                      0.80624646
               4.0030775                      0.80152136
               4.0046701                      0.79437995
               4.0062633                      0.78485137
               4.0078559                      0.77297193
                4.009449                      0.75878501
               4.0110421                      0.74234092
               4.0126348                      0.72369677
               4.0142279                      0.70291609
                4.015821                      0.68006879
               4.0174136                      0.65523088
               4.0190067                      0.62848425
               4.0205998                      0.59991634
               4.0221925                      0.56961983
               4.0237856                      0.53769243
               4.0253787                      0.50423646
               4.0269713                      0.46935874
               4.0285645                      0.43316987
               4.0301576                      0.39578432
               4.0317502                      0.35731965
               4.0333433                      0.31789646
               4.0349364                      0.27763787
               4.0365291                      0.23666912
               4.0381222                      0.19511724
               4.0397153                      0.15311058
               4.0413079                      0.11077852
                4.042901                     0.068250947
               4.0444937                     0.025657961
               4.0460868                    -0.016870588
               4.0476799                     -0.05920548
               4.0492725                     -0.10121852
               4.0508657                     -0.14278291
               4.0524588                     -0.18377367
               4.0540514                     -0.22406799
               4.0556445                     -0.26354557
               4.0572376                     -0.30208904
               4.0588303                     -0.33958432
               4.0604234                     -0.37592083
               4.0620165                     -0.41099203
               4.0636091                     -0.44469544
               4.0652022                      -0.4769333
               4.0667953                     -0.50761253
                4.068388                     -0.53664517
               4.0699811                     -0.56394869
               4.0715742                     -0.58944595
               4.0731668                     -0.61306572
                 4.07476                     -0.63474268
               4.0763531                     -0.65441781
               4.0779457                     -0.67203832
               4.0795388                     -0.68755782
               4.0811319                     -0.70093656
               4.0827246                     -0.71214157
               4.0843177                     -0.72114646
               4.0859103                     -0.72793174
               4.0875034                     -0.73248482
               4.0890965                     -0.73479992
               4.0906892                     -0.73487812
               4.0922823                     -0.73272729
               4.0938754                     -0.72836214
                4.095468                     -0.72180408
               4.0970612                     -0.71308112
               4.0986543                     -0.70222777
               4.1002469                     -0.68928498
                 4.10184                     -0.67429984
               4.1034331                     -0.65732557
               4.1050258                     -0.63842124
               4.1066189                     -0.61765164
                4.108212                     -0.59508699
               4.1098046                     -0.57080269
               4.1113977                     -0.54487908
               4.1129909                      -0.5174014
               4.1145835                     -0.48845905
               4.1161766                     -0.45814577
               4.1177697                       -0.426559
               4.1193624                     -0.39379981
               4.1209555                     -0.35997236
               4.1225486                     -0.32518375
               4.1241412                     -0.28954354
               4.1257343                     -0.25316355
                4.127327                     -0.21615735
               4.1289201                     -0.17864001
               4.1305132                     -0.14072771
               4.1321058                     -0.10253742
               4.1336989                    -0.064186446
               4.1352921                    -0.025792154
               4.1368847                      0.01252842
               4.1384778                      0.05065893
               4.1400709                     0.088484079
               4.1416636                      0.12588994
               4.1432567                      0.16276434
               4.1448498                      0.19899715
               4.1464424                      0.23448069
               4.1480355                      0.26910996
               4.1496286                      0.30278298
               4.1512213                      0.33540115
               4.1528144                      0.36686945
               4.1544075                      0.39709675
               4.1560001                      0.42599612
               4.1575933                      0.45348504
               4.1591864                       0.4794856
                4.160779                      0.50392479
               4.1623721                      0.52673459
               4.1639647                       0.5478524
               4.1655579                      0.56722081
                4.167151                      0.58478826
               4.1687436                      0.60050869
               4.1703367                      0.61434203
               4.1719298                      0.62625396
               4.1735225                      0.63621634
               4.1751156                      0.64420706
               4.1767087                      0.65021014
               4.1783013                      0.65421557
               4.1798944                      0.65621978
               4.1814876                      0.65622503
               4.1830802                      0.65423995
               4.1846733                      0.65027899
               4.1862664                      0.64436269
               4.1878591                      0.63651741
               4.1894522                      0.62677538
               4.1910453                      0.61517447
               4.1926379                      0.60175794
                4.194231                      0.58657449
               4.1958241                      0.56967813
               4.1974168                      0.55112767
               4.1990099                      0.53098679
                4.200603                      0.50932384
               4.2021956                       0.4862113
               4.2037888                      0.46172604
               4.2053814                      0.43594858
               4.2069745                      0.40896308
               4.2085676                      0.38085711
               4.2101603                      0.35172114
               4.2117534                      0.32164845
               4.2133465                       0.2907348
               4.2149391                        0.259078
               4.2165322                      0.22677781
               4.2181253                      0.19393541
                4.219718                      0.16065323
               4.2213111                      0.12703456
               4.2229042                     0.093183264
               4.2244968                     0.059203442
                 4.22609                     0.025199126
               4.2276831                   -0.0087260669
               4.2292757                    -0.042469226
               4.2308688                    -0.075928472
               4.2324619                     -0.10900325
               4.2340546                     -0.14159465
               4.2356477                     -0.17360568
               4.2372408                     -0.20494159
               4.2388334                     -0.23551011
               4.2404265                     -0.26522177
               4.2420192                     -0.29399011
               4.2436123                     -0.32173193
               4.2452054                      -0.3483676
                4.246798                     -0.37382123
               4.2483912                     -0.39802089
               4.2499843                     -0.42089882
               4.2515769                     -0.44239163
                 4.25317                     -0.46244043
               4.2547631                     -0.48099104
               4.2563558                     -0.49799412
               4.2579489                     -0.51340526
                4.259542                      -0.5271852
               4.2611346                     -0.53929979
               4.2627277                     -0.54972005
               4.2643209                     -0.55842251
               4.2659135                     -0.56538898
               4.2675066                     -0.57060653
               4.2690997                     -0.57406777
               4.2706923                      -0.5757708
               4.2722855                     -0.57571882
               4.2738786                     -0.57392067
               4.2754712                     -0.57039028
               4.2770643                     -0.56514698
               4.2786574                     -0.55821502
               4.2802501                     -0.54962385
               4.2818432                     -0.53940779
               4.2834358                     -0.52760601
               4.2850289                     -0.51426226
                4.286622                     -0.49942484
               4.2882147                     -0.48314631
               4.2898078                     -0.46548343
               4.2914009                     -0.44649687
               4.2929935                     -0.42625108
               4.2945867                       -0.404814
               4.2961798                     -0.38225687
               4.2977724                     -0.35865405
               4.2993655                     -0.33408263
               4.3009586                     -0.30862233
               4.3025513                     -0.28235519
               4.3041444                     -0.25536528
               4.3057375                     -0.22773843
               4.3073301                       -0.199562
               4.3089232                      -0.1709246
               4.3105164                     -0.14191577
                4.312109                     -0.11262576
               4.3137021                    -0.083145157
               4.3152952                    -0.053564731
               4.3168879                     -0.02397505
                4.318481                     0.005533752
               4.3200741                     0.034872245
               4.3216667                     0.063951991
               4.3232598                     0.092685804
               4.3248525                      0.12098799
               4.3264456                      0.14877465
               4.3280387                      0.17596388
               4.3296313                      0.20247602
               4.3312244                      0.22823393
               4.3328176                      0.25316316
               4.3344102                      0.27719218
               4.3360033                      0.30025259
               4.3375964                       0.3222793
               4.3391891                      0.34321079
               4.3407822                      0.36298913
               4.3423753                      0.38156024
               4.3439679                      0.39887404
                4.345561                       0.4148846
               4.3471541                      0.42955011
               4.3487468                      0.44283319
               4.3503399                      0.45470083
                4.351933                      0.46512452
               4.3535256                      0.47408041
               4.3551188                      0.48154911
               4.3567119                      0.48751605
               4.3583045                      0.49197116
               4.3598976                       0.4949092
               4.3614902                      0.49632946
               4.3630834                      0.49623594
               4.3646765                      0.49463725
               4.3662691                      0.49154657
               4.3678622                      0.48698145
               4.3694553                      0.48096403
                4.371048                      0.47352061
               4.3726411                      0.46468177
               4.3742342                      0.45448217
               4.3758268                      0.44296047
               4.3774199                      0.43015912
               4.3790131                      0.41612422
               4.3806057                      0.40090546
               4.3821988                      0.38455582
               4.3837919                      0.36713138
               4.3853846                      0.34869131
               4.3869777                      0.32929751
               4.3885708                      0.30901438
               4.3901634                      0.28790873
               4.3917565                       0.2660495
               4.3933496                      0.24350758
               4.3949423                      0.22035545
               4.3965354                      0.19666713
               4.3981285                      0.17251782
               4.3997211                       0.1479837
               4.4013143                      0.12314168
               4.4029069                     0.098069198
                  4.4045                     0.072843924
               4.4060931                      0.04754357
               4.4076858                     0.022245618
               4.4092789                   -0.0029729072
                4.410872                    -0.028035665
               4.4124646                    -0.052867234
               4.4140577                    -0.077393331
               4.4156508                     -0.10154106
               4.4172435                     -0.12523907
               4.4188366                     -0.14841786
               4.4204297                     -0.17100984
               4.4220223                      -0.1929497
               4.4236155                     -0.21417442
               4.4252086                      -0.2346236
               4.4268012                     -0.25423956
               4.4283943                     -0.27296746
               4.4299874                     -0.29075554
               4.4315801                     -0.30755523
               4.4331732                     -0.32332122
               4.4347663                     -0.33801171
               4.4363589                     -0.35158834
                4.437952                     -0.36401641
               4.4395447                       -0.375265
               4.4411378                     -0.38530692
               4.4427309                     -0.39411888
               4.4443235                     -0.40168139
               4.4459167                     -0.40797901
               4.4475098                     -0.41300023
               4.4491024                     -0.41673744
               4.4506955                      -0.4191871
               4.4522886                     -0.42034954
               4.4538813                     -0.42022911
               4.4554744                       -0.418834
               4.4570675                     -0.41617623
               4.4586601                     -0.41227165
               4.4602532                     -0.40713981
               4.4618464                     -0.40080386
                4.463439                     -0.39329055
               4.4650321                     -0.38463002
               4.4666252                     -0.37485573
               4.4682178                     -0.36400434
                4.469811                     -0.35211563
               4.4714041                     -0.33923221
               4.4729967                     -0.32539952
               4.4745898                     -0.31066564
               4.4761829                     -0.29508105
               4.4777756                     -0.27869856
               4.4793687                     -0.26157308
               4.4809613                     -0.24376144
               4.4825544                     -0.22532219
               4.4841475                     -0.20631547
               4.4857402                     -0.18680276
               4.4873333                     -0.16684669
               4.4889264                     -0.14651087
                4.490519                     -0.12585965
               4.4921122                     -0.10495792
               4.4937053                    -0.083870985
               4.4952979                    -0.062664241
                4.496891                    -0.041403055
               4.4984841                     -0.02015255
               4.5000768                    0.0010226083
               4.5016699                     0.022058398
                4.503263                     0.042891633
               4.5048556                     0.063460149
               4.5064487                     0.083702989
               4.5080419                       0.1035606
               4.5096345                      0.12297497
               4.5112276                      0.14188984
               4.5128207                      0.16025081
               4.5144134                      0.17800556
               4.5160065                      0.19510396
               4.5175996                      0.21149819
               4.5191922                      0.22714289
               4.5207853                      0.24199533
                4.522378                      0.25601545
               4.5239711                      0.26916599
               4.5255642                      0.28141263
               4.5271568                      0.29272401
