        Time                o33
               2.0437517                   -0.0015655477
               2.0453446                    -0.001457741
               2.0469377                   -0.0013440213
               2.0485306                   -0.0012246657
               2.0501235                   -0.0010999724
               2.0517166                   -0.0009702603
               2.0533094                  -0.00083586777
               2.0549023                  -0.00069715234
               2.0564952                   -0.0005544895
               2.0580883                  -0.00040827188
               2.0596812                  -0.00025890826
               2.0612741                  -0.00010682243
               2.0628672                    4.754791e-05
                 2.06446                   0.00020375232
               2.0660529                   0.00036132889
                2.067646                   0.00051980559
               2.0692389                   0.00067870138
               2.0708318                   0.00083752803
               2.0724249                   0.00099579117
               2.0740178                    0.0011529918
               2.0756106                     0.001308628
               2.0772035                    0.0014621963
               2.0787966                    0.0016131934
               2.0803895                    0.0017611175
               2.0819824                    0.0019054699
               2.0835755                    0.0020457569
               2.0851684                    0.0021814911
               2.0867612                    0.0023121932
               2.0883543                    0.0024373936
               2.0899472                    0.0025566337
               2.0915401                    0.0026694676
               2.0931332                    0.0027754642
               2.0947261                    0.0028742079
                2.096319                    0.0029653003
               2.0979118                    0.0030483624
               2.0995049                    0.0031230354
               2.1010978                    0.0031889814
               2.1026907                    0.0032458864
               2.1042838                      0.00329346
               2.1058767                    0.0033314377
               2.1074696                    0.0033595813
               2.1090627                    0.0033776802
               2.1106555                    0.0033855527
               2.1122484                    0.0033830465
               2.1138415                    0.0033700401
               2.1154344                    0.0033464427
               2.1170273                    0.0033121961
               2.1186202                    0.0032672738
               2.1202133                    0.0032116829
               2.1218061                    0.0031454631
                2.123399                    0.0030686883
               2.1249921                     0.002981466
                2.126585                    0.0028839377
               2.1281779                    0.0027762784
                2.129771                    0.0026586971
               2.1313639                     0.002531436
               2.1329567                    0.0023947707
               2.1345496                    0.0022490094
               2.1361427                    0.0020944928
               2.1377356                    0.0019315922
               2.1393285                    0.0017607104
               2.1409216                    0.0015822795
               2.1425145                    0.0013967603
               2.1441073                    0.0012046419
               2.1457005                    0.0010064396
               2.1472933                   0.00080269366
               2.1488862                   0.00059396867
               2.1504793                   0.00038085133
               2.1520722                   0.00016394921
               2.1536651                  -5.6110905e-05
               2.1552579                  -0.00027868483
               2.1568511                  -0.00050311268
               2.1584439                   -0.0007287208
               2.1600368                   -0.0009548238
               2.1616299                   -0.0011807262
               2.1632228                   -0.0014057251
               2.1648157                   -0.0016291116
               2.1664088                   -0.0018501732
               2.1680017                   -0.0020681962
               2.1695945                   -0.0022824679
               2.1711876                   -0.0024922783
               2.1727805                   -0.0026969232
               2.1743734                   -0.0028957056
               2.1759663                   -0.0030879381
               2.1775594                    -0.003272946
               2.1791523                   -0.0034500689
               2.1807451                   -0.0036186627
               2.1823382                   -0.0037781023
               2.1839311                    -0.003927784
                2.185524                   -0.0040671262
               2.1871171                   -0.0041955733
                 2.18871                   -0.0043125967
               2.1903028                   -0.0044176974
                2.191896                   -0.0045104073
               2.1934888                   -0.0045902911
               2.1950817                   -0.0046569472
               2.1966746                   -0.0047100126
               2.1982677                   -0.0047491603
               2.1998606                   -0.0047741039
               2.2014534                   -0.0047845975
               2.2030466                   -0.0047804369
               2.2046394                   -0.0047614607
               2.2062323                   -0.0047275526
               2.2078254                   -0.0046786405
               2.2094183                   -0.0046146987
               2.2110112                   -0.0045357477
                2.212604                    -0.004441855
               2.2141972                   -0.0043331352
                 2.21579                   -0.0042097508
               2.2173829                   -0.0040719113
                2.218976                   -0.0039198739
               2.2205689                   -0.0037539427
               2.2221618                   -0.0035744691
               2.2237549                   -0.0033818502
               2.2253478                   -0.0031765287
               2.2269406                   -0.0029589923
               2.2285337                   -0.0027297719
               2.2301266                   -0.0024894408
               2.2317195                   -0.0022386143
               2.2333124                   -0.0019779464
               2.2349055                   -0.0017081305
               2.2364984                   -0.0014298954
               2.2380912                   -0.0011440051
               2.2396843                  -0.00085125613
               2.2412772                  -0.00055247557
               2.2428701                  -0.00024851883
               2.2444632                   5.9732774e-05
               2.2460561                   0.00037137442
                2.247649                   0.00068548025
               2.2492421                     0.001001106
               2.2508349                     0.001317292
               2.2524278                    0.0016330656
               2.2540207                    0.0019474444
               2.2556138                    0.0022594391
               2.2572067                    0.0025680559
               2.2587996                    0.0028723008
               2.2603927                    0.0031711815
               2.2619855                    0.0034637116
               2.2635784                    0.0037489124
               2.2651715                    0.0040258169
               2.2667644                    0.0042934734
               2.2683573                    0.0045509478
               2.2699504                    0.0047973264
               2.2715433                    0.0050317198
               2.2731361                    0.0052532665
                2.274729                     0.005461134
               2.2763221                    0.0056545236
                2.277915                    0.0058326721
               2.2795079                     0.005994855
                2.281101                    0.0061403895
               2.2826939                    0.0062686368
               2.2842867                    0.0063790036
               2.2858799                    0.0064709471
               2.2874727                    0.0065439735
               2.2890656                    0.0065976442
               2.2906587                    0.0066315746
               2.2922516                    0.0066454373
               2.2938445                    0.0066389637
               2.2954373                    0.0066119451
               2.2970304                    0.0065642344
               2.2986233                    0.0064957468
               2.3002162                    0.0064064614
               2.3018093                    0.0062964219
               2.3034022                    0.0061657359
               2.3049951                    0.0060145776
               2.3065882                    0.0058431854
                2.308181                    0.0056518642
               2.3097739                    0.0054409839
               2.3113668                    0.0052109789
               2.3129599                    0.0049623479
               2.3145528                    0.0046956534
               2.3161457                      0.00441152
               2.3177388                    0.0041106329
               2.3193316                    0.0037937369
               2.3209245                    0.0034616354
               2.3225176                    0.0031151874
               2.3241105                    0.0027553055
               2.3257034                    0.0023829546
               2.3272965                    0.0019991486
               2.3288894                    0.0016049484
               2.3304822                    0.0012014583
               2.3320751                   0.00078982383
               2.3336682                   0.00037122829
               2.3352611                  -5.3110503e-05
                2.336854                  -0.00048194366
               2.3384471                  -0.00091399462
                 2.34004                    -0.001347963
               2.3416328                   -0.0017825284
                2.343226                   -0.0022163535
               2.3448188                     -0.00264809
               2.3464117                   -0.0030763804
               2.3480048                   -0.0034998632
               2.3495977                   -0.0039171777
               2.3511906                   -0.0043269666
               2.3527834                   -0.0047278823
               2.3543766                   -0.0051185894
               2.3559694                   -0.0054977695
               2.3575623                   -0.0058641266
               2.3591554                   -0.0062163901
               2.3607483                   -0.0065533193
               2.3623412                   -0.0068737073
               2.3639343                   -0.0071763862
               2.3655272                   -0.0074602296
                 2.36712                   -0.0077241585
               2.3687131                   -0.0079671424
                2.370306                   -0.0081882067
               2.3718989                   -0.0083864341
               2.3734918                   -0.0085609658
               2.3750849                   -0.0087110093
               2.3766778                     -0.00883584
               2.3782706                   -0.0089348024
               2.3798637                   -0.0090073152
               2.3814566                   -0.0090528717
               2.3830495                   -0.0090710446
               2.3846426                   -0.0090614855
               2.3862355                   -0.0090239299
               2.3878284                   -0.0089581963
               2.3894212                   -0.0088641886
               2.3910143                   -0.0087418985
               2.3926072                   -0.0085914023
               2.3942001                   -0.0084128678
               2.3957932                     -0.00820655
               2.3973861                   -0.0079727918
               2.3989789                   -0.0077120271
               2.4005721                    -0.007424776
               2.4021649                   -0.0071116472
               2.4037578                   -0.0067733363
               2.4053509                    -0.006410623
               2.4069438                   -0.0060243714
               2.4085367                   -0.0056155273
               2.4101295                   -0.0051851165
               2.4117227                   -0.0047342433
               2.4133155                   -0.0042640856
               2.4149084                   -0.0037758937
               2.4165015                   -0.0032709872
               2.4180944                   -0.0027507509
               2.4196873                   -0.0022166313
               2.4212804                   -0.0016701331
               2.4228733                    -0.001112815
               2.4244661                  -0.00054628524
               2.4260592                   2.7802686e-05
               2.4276521                   0.00060775486
                2.429245                    0.0011918418
               2.4308379                    0.0017783033
                2.432431                     0.002365354
               2.4340239                    0.0029511875
               2.4356167                    0.0035339841
               2.4372098                    0.0041119135
               2.4388027                    0.0046831421
               2.4403956                    0.0052458383
               2.4419887                    0.0057981783
               2.4435816                    0.0063383523
               2.4451745                    0.0068645687
               2.4467676                    0.0073750615
               2.4483604                    0.0078680944
               2.4499533                     0.008341969
               2.4515462                    0.0087950276
               2.4531393                    0.0092256609
               2.4547322                    0.0096323136
               2.4563251                     0.010013486
               2.4579182                     0.010367746
                2.459511                     0.010693727
               2.4611039                     0.010990138
                2.462697                     0.011255765
               2.4642899                     0.011489479
               2.4658828                     0.011690236
               2.4674759                     0.011857085
               2.4690688                      0.01198917
               2.4706616                     0.012085735
               2.4722545                     0.012146124
               2.4738476                     0.012169788
               2.4754405                     0.012156285
               2.4770334                     0.012105286
               2.4786265                     0.012016573
               2.4802194                     0.011890042
               2.4818122                     0.011725705
               2.4834054                     0.011523692
               2.4849982                     0.011284251
               2.4865911                     0.011007747
                2.488184                     0.010694665
               2.4897771                     0.010345606
                 2.49137                    0.0099612903
               2.4929628                    0.0095425528
                2.494556                    0.0090903435
